"OriginalDataSetName" "TidyDataSetName"
"tGravityAcc-energy()-Y" "omitted"
"tGravityAcc-energy()-Z" "omitted"
"tGravityAcc-iqr()-X" "omitted"
"tGravityAcc-iqr()-Y" "omitted"
"tGravityAcc-iqr()-Z" "omitted"
"tGravityAcc-entropy()-X" "omitted"
"tGravityAcc-entropy()-Y" "omitted"
"tGravityAcc-entropy()-Z" "omitted"
"tGravityAcc-arCoeff()-X,1" "omitted"
"tGravityAcc-arCoeff()-X,2" "omitted"
"tGravityAcc-arCoeff()-X,3" "omitted"
"tGravityAcc-arCoeff()-X,4" "omitted"
"tGravityAcc-arCoeff()-Y,1" "omitted"
"tGravityAcc-arCoeff()-Y,2" "omitted"
"tGravityAcc-arCoeff()-Y,3" "omitted"
"tGravityAcc-arCoeff()-Y,4" "omitted"
"tGravityAcc-arCoeff()-Z,1" "omitted"
"tGravityAcc-arCoeff()-Z,2" "omitted"
"tGravityAcc-arCoeff()-Z,3" "omitted"
"tGravityAcc-arCoeff()-Z,4" "omitted"
"tGravityAcc-correlation()-X,Y" "omitted"
"tGravityAcc-correlation()-X,Z" "omitted"
"tGravityAcc-correlation()-Y,Z" "omitted"
"tBodyAccJerk-mean()-X" "TimeBodyAccelerometerJerkMeanX"
"tBodyAccJerk-mean()-Y" "TimeBodyAccelerometerJerkMeanY"
"tBodyAccJerk-mean()-Z" "TimeBodyAccelerometerJerkMeanZ"
"tBodyAccJerk-std()-X" "TimeBodyAccelerometerJerkStdX"
"tBodyAccJerk-std()-Y" "TimeBodyAccelerometerJerkStdY"
"tBodyAccJerk-std()-Z" "TimeBodyAccelerometerJerkStdZ"
"tBodyAccJerk-mad()-X" "omitted"
"tBodyAccJerk-mad()-Y" "omitted"
"tBodyAccJerk-mad()-Z" "omitted"
"tBodyAccJerk-max()-X" "omitted"
"tBodyAccJerk-max()-Y" "omitted"
"tBodyAccJerk-max()-Z" "omitted"
"tBodyAccJerk-min()-X" "omitted"
"tBodyAccJerk-min()-Y" "omitted"
"tBodyAccJerk-min()-Z" "omitted"
"tBodyAccJerk-sma()" "omitted"
"tBodyAccJerk-energy()-X" "omitted"
"tBodyAccJerk-energy()-Y" "omitted"
"tBodyAccJerk-energy()-Z" "omitted"
"tBodyAccJerk-iqr()-X" "omitted"
"tBodyAccJerk-iqr()-Y" "omitted"
"tBodyAccJerk-iqr()-Z" "omitted"
"tBodyAccJerk-entropy()-X" "omitted"
"tBodyAccJerk-entropy()-Y" "omitted"
"tBodyAccJerk-entropy()-Z" "omitted"
"tBodyAccJerk-arCoeff()-X,1" "omitted"
"tBodyAccJerk-arCoeff()-X,2" "omitted"
"tBodyAccJerk-arCoeff()-X,3" "omitted"
"tBodyAccJerk-arCoeff()-X,4" "omitted"
"tBodyAccJerk-arCoeff()-Y,1" "omitted"
"tBodyAccJerk-arCoeff()-Y,2" "omitted"
"tBodyAccJerk-arCoeff()-Y,3" "omitted"
"tBodyAccJerk-arCoeff()-Y,4" "omitted"
"tBodyAccJerk-arCoeff()-Z,1" "omitted"
"tBodyAccJerk-arCoeff()-Z,2" "omitted"
"tBodyAccJerk-arCoeff()-Z,3" "omitted"
"tBodyAccJerk-arCoeff()-Z,4" "omitted"
"tBodyAccJerk-correlation()-X,Y" "omitted"
"tBodyAccJerk-correlation()-X,Z" "omitted"
"tBodyAccJerk-correlation()-Y,Z" "omitted"
"tBodyGyro-mean()-X" "TimeBodyGyroscopeMeanX"
"tBodyGyro-mean()-Y" "TimeBodyGyroscopeMeanY"
"tBodyGyro-mean()-Z" "TimeBodyGyroscopeMeanZ"
"tBodyGyro-std()-X" "TimeBodyGyroscopeStdX"
"tBodyGyro-std()-Y" "TimeBodyGyroscopeStdY"
"tBodyGyro-std()-Z" "TimeBodyGyroscopeStdZ"
"tBodyGyro-mad()-X" "omitted"
"tBodyGyro-mad()-Y" "omitted"
"tBodyGyro-mad()-Z" "omitted"
"tBodyGyro-max()-X" "omitted"
"tBodyGyro-max()-Y" "omitted"
"tBodyGyro-max()-Z" "omitted"
"tBodyGyro-min()-X" "omitted"
"tBodyGyro-min()-Y" "omitted"
"tBodyGyro-min()-Z" "omitted"
"tBodyGyro-sma()" "omitted"
"tBodyGyro-energy()-X" "omitted"
"tBodyGyro-energy()-Y" "omitted"
"tBodyGyro-energy()-Z" "omitted"
"tBodyGyro-iqr()-X" "omitted"
"tBodyGyro-iqr()-Y" "omitted"
"tBodyGyro-iqr()-Z" "omitted"
"tBodyGyro-entropy()-X" "omitted"
"tBodyGyro-entropy()-Y" "omitted"
"tBodyGyro-entropy()-Z" "omitted"
"tBodyGyro-arCoeff()-X,1" "omitted"
"tBodyGyro-arCoeff()-X,2" "omitted"
"tBodyGyro-arCoeff()-X,3" "omitted"
"tBodyGyro-arCoeff()-X,4" "omitted"
"tBodyGyro-arCoeff()-Y,1" "omitted"
"tBodyGyro-arCoeff()-Y,2" "omitted"
"tBodyGyro-arCoeff()-Y,3" "omitted"
"tBodyGyro-arCoeff()-Y,4" "omitted"
"tBodyGyro-arCoeff()-Z,1" "omitted"
"tBodyGyro-arCoeff()-Z,2" "omitted"
"tBodyGyro-arCoeff()-Z,3" "omitted"
"tBodyGyro-arCoeff()-Z,4" "omitted"
"tBodyGyro-correlation()-X,Y" "omitted"
"tBodyGyro-correlation()-X,Z" "omitted"
"tBodyGyro-correlation()-Y,Z" "omitted"
"tBodyGyroJerk-mean()-X" "TimeBodyGyroscopeJerkMeanX"
"tBodyGyroJerk-mean()-Y" "TimeBodyGyroscopeJerkMeanY"
"tBodyGyroJerk-mean()-Z" "TimeBodyGyroscopeJerkMeanZ"
"tBodyGyroJerk-std()-X" "TimeBodyGyroscopeJerkStdX"
"tBodyGyroJerk-std()-Y" "TimeBodyGyroscopeJerkStdY"
"tBodyGyroJerk-std()-Z" "TimeBodyGyroscopeJerkStdZ"
"tBodyGyroJerk-mad()-X" "omitted"
"tBodyGyroJerk-mad()-Y" "omitted"
"tBodyGyroJerk-mad()-Z" "omitted"
"tBodyGyroJerk-max()-X" "omitted"
"tBodyGyroJerk-max()-Y" "omitted"
"tBodyGyroJerk-max()-Z" "omitted"
"tBodyGyroJerk-min()-X" "omitted"
"tBodyGyroJerk-min()-Y" "omitted"
"tBodyGyroJerk-min()-Z" "omitted"
"tBodyGyroJerk-sma()" "omitted"
"tBodyGyroJerk-energy()-X" "omitted"
"tBodyGyroJerk-energy()-Y" "omitted"
"tBodyGyroJerk-energy()-Z" "omitted"
"tBodyGyroJerk-iqr()-X" "omitted"
"tBodyGyroJerk-iqr()-Y" "omitted"
"tBodyGyroJerk-iqr()-Z" "omitted"
"tBodyGyroJerk-entropy()-X" "omitted"
"tBodyGyroJerk-entropy()-Y" "omitted"
"tBodyGyroJerk-entropy()-Z" "omitted"
"tBodyGyroJerk-arCoeff()-X,1" "omitted"
"tBodyGyroJerk-arCoeff()-X,2" "omitted"
"tBodyGyroJerk-arCoeff()-X,3" "omitted"
"tBodyGyroJerk-arCoeff()-X,4" "omitted"
"tBodyGyroJerk-arCoeff()-Y,1" "omitted"
"tBodyGyroJerk-arCoeff()-Y,2" "omitted"
"tBodyGyroJerk-arCoeff()-Y,3" "omitted"
"tBodyGyroJerk-arCoeff()-Y,4" "omitted"
"tBodyGyroJerk-arCoeff()-Z,1" "omitted"
"tBodyGyroJerk-arCoeff()-Z,2" "omitted"
"tBodyGyroJerk-arCoeff()-Z,3" "omitted"
"tBodyGyroJerk-arCoeff()-Z,4" "omitted"
"tBodyGyroJerk-correlation()-X,Y" "omitted"
"tBodyGyroJerk-correlation()-X,Z" "omitted"
"tBodyGyroJerk-correlation()-Y,Z" "omitted"
"tBodyAccMag-mean()" "TimeBodyAccelerometerMagMean"
"tBodyAccMag-std()" "TimeBodyAccelerometerMagStd"
"tBodyAccMag-mad()" "omitted"
"tBodyAccMag-max()" "omitted"
"tBodyAccMag-min()" "omitted"
"tBodyAccMag-sma()" "omitted"
"tBodyAccMag-energy()" "omitted"
"tBodyAccMag-iqr()" "omitted"
"tBodyAccMag-entropy()" "omitted"
"tBodyAccMag-arCoeff()1" "omitted"
"tBodyAccMag-arCoeff()2" "omitted"
"tBodyAccMag-arCoeff()3" "omitted"
"tBodyAccMag-arCoeff()4" "omitted"
"tGravityAccMag-mean()" "TimeGravityAccelerometerMagMean"
"tGravityAccMag-std()" "TimeGravityAccelerometerMagStd"
"tGravityAccMag-mad()" "omitted"
"tGravityAccMag-max()" "omitted"
"tGravityAccMag-min()" "omitted"
"tGravityAccMag-sma()" "omitted"
"tGravityAccMag-energy()" "omitted"
"tGravityAccMag-iqr()" "omitted"
"tGravityAccMag-entropy()" "omitted"
"tGravityAccMag-arCoeff()1" "omitted"
"tGravityAccMag-arCoeff()2" "omitted"
"tGravityAccMag-arCoeff()3" "omitted"
"tGravityAccMag-arCoeff()4" "omitted"
"tBodyAccJerkMag-mean()" "TimeBodyAccelerometerJerkMagMean"
"tBodyAccJerkMag-std()" "TimeBodyAccelerometerJerkMagStd"
"tBodyAccJerkMag-mad()" "omitted"
"tBodyAccJerkMag-max()" "omitted"
"tBodyAccJerkMag-min()" "omitted"
"tBodyAccJerkMag-sma()" "omitted"
"tBodyAccJerkMag-energy()" "omitted"
"tBodyAccJerkMag-iqr()" "omitted"
"tBodyAccJerkMag-entropy()" "omitted"
"tBodyAccJerkMag-arCoeff()1" "omitted"
"tBodyAccJerkMag-arCoeff()2" "omitted"
"tBodyAccJerkMag-arCoeff()3" "omitted"
"tBodyAccJerkMag-arCoeff()4" "omitted"
"tBodyGyroMag-mean()" "TimeBodyGyroscopeMagMean"
"tBodyGyroMag-std()" "TimeBodyGyroscopeMagStd"
"tBodyGyroMag-mad()" "omitted"
"tBodyGyroMag-max()" "omitted"
"tBodyGyroMag-min()" "omitted"
"tBodyGyroMag-sma()" "omitted"
"tBodyGyroMag-energy()" "omitted"
"tBodyGyroMag-iqr()" "omitted"
"tBodyGyroMag-entropy()" "omitted"
"tBodyGyroMag-arCoeff()1" "omitted"
"tBodyGyroMag-arCoeff()2" "omitted"
"tBodyGyroMag-arCoeff()3" "omitted"
"tBodyGyroMag-arCoeff()4" "omitted"
"tBodyGyroJerkMag-mean()" "TimeBodyGyroscopeJerkMagMean"
"tBodyGyroJerkMag-std()" "TimeBodyGyroscopeJerkMagStd"
"tBodyGyroJerkMag-mad()" "omitted"
"tBodyGyroJerkMag-max()" "omitted"
"tBodyGyroJerkMag-min()" "omitted"
"tBodyGyroJerkMag-sma()" "omitted"
"tBodyGyroJerkMag-energy()" "omitted"
"tBodyGyroJerkMag-iqr()" "omitted"
"tBodyGyroJerkMag-entropy()" "omitted"
"tBodyGyroJerkMag-arCoeff()1" "omitted"
"tBodyGyroJerkMag-arCoeff()2" "omitted"
"tBodyGyroJerkMag-arCoeff()3" "omitted"
"tBodyGyroJerkMag-arCoeff()4" "omitted"
"fBodyAcc-mean()-X" "FrequencyBodyAccelerometerMeanX"
"fBodyAcc-mean()-Y" "FrequencyBodyAccelerometerMeanY"
"fBodyAcc-mean()-Z" "FrequencyBodyAccelerometerMeanZ"
"fBodyAcc-std()-X" "FrequencyBodyAccelerometerStdX"
"fBodyAcc-std()-Y" "FrequencyBodyAccelerometerStdY"
"fBodyAcc-std()-Z" "FrequencyBodyAccelerometerStdZ"
"fBodyAcc-mad()-X" "omitted"
"fBodyAcc-mad()-Y" "omitted"
"fBodyAcc-mad()-Z" "omitted"
"fBodyAcc-max()-X" "omitted"
"fBodyAcc-max()-Y" "omitted"
"fBodyAcc-max()-Z" "omitted"
"fBodyAcc-min()-X" "omitted"
"fBodyAcc-min()-Y" "omitted"
"fBodyAcc-min()-Z" "omitted"
"fBodyAcc-sma()" "omitted"
"fBodyAcc-energy()-X" "omitted"
"fBodyAcc-energy()-Y" "omitted"
"fBodyAcc-energy()-Z" "omitted"
"fBodyAcc-iqr()-X" "omitted"
"fBodyAcc-iqr()-Y" "omitted"
"fBodyAcc-iqr()-Z" "omitted"
"fBodyAcc-entropy()-X" "omitted"
"fBodyAcc-entropy()-Y" "omitted"
"fBodyAcc-entropy()-Z" "omitted"
"fBodyAcc-maxInds-X" "omitted"
"fBodyAcc-maxInds-Y" "omitted"
"fBodyAcc-maxInds-Z" "omitted"
"fBodyAcc-meanFreq()-X" "omitted"
"fBodyAcc-meanFreq()-Y" "omitted"
"fBodyAcc-meanFreq()-Z" "omitted"
"fBodyAcc-skewness()-X" "omitted"
"fBodyAcc-kurtosis()-X" "omitted"
"fBodyAcc-skewness()-Y" "omitted"
"fBodyAcc-kurtosis()-Y" "omitted"
"fBodyAcc-skewness()-Z" "omitted"
"fBodyAcc-kurtosis()-Z" "omitted"
"fBodyAcc-bandsEnergy()-1,8" "omitted"
"fBodyAcc-bandsEnergy()-9,16" "omitted"
"fBodyAcc-bandsEnergy()-17,24" "omitted"
"fBodyAcc-bandsEnergy()-25,32" "omitted"
"fBodyAcc-bandsEnergy()-33,40" "omitted"
"fBodyAcc-bandsEnergy()-41,48" "omitted"
"fBodyAcc-bandsEnergy()-49,56" "omitted"
"fBodyAcc-bandsEnergy()-57,64" "omitted"
"fBodyAcc-bandsEnergy()-1,16" "omitted"
"fBodyAcc-bandsEnergy()-17,32" "omitted"
"fBodyAcc-bandsEnergy()-33,48" "omitted"
"fBodyAcc-bandsEnergy()-49,64" "omitted"
"fBodyAcc-bandsEnergy()-1,24" "omitted"
"fBodyAcc-bandsEnergy()-25,48" "omitted"
"fBodyAcc-bandsEnergy()-1,8" "omitted"
"fBodyAcc-bandsEnergy()-9,16" "omitted"
"fBodyAcc-bandsEnergy()-17,24" "omitted"
"fBodyAcc-bandsEnergy()-25,32" "omitted"
"fBodyAcc-bandsEnergy()-33,40" "omitted"
"fBodyAcc-bandsEnergy()-41,48" "omitted"
"fBodyAcc-bandsEnergy()-49,56" "omitted"
"fBodyAcc-bandsEnergy()-57,64" "omitted"
"fBodyAcc-bandsEnergy()-1,16" "omitted"
"fBodyAcc-bandsEnergy()-17,32" "omitted"
"fBodyAcc-bandsEnergy()-33,48" "omitted"
"fBodyAcc-bandsEnergy()-49,64" "omitted"
"fBodyAcc-bandsEnergy()-1,24" "omitted"
"fBodyAcc-bandsEnergy()-25,48" "omitted"
"fBodyAcc-bandsEnergy()-1,8" "omitted"
"fBodyAcc-bandsEnergy()-9,16" "omitted"
"fBodyAcc-bandsEnergy()-17,24" "omitted"
"fBodyAcc-bandsEnergy()-25,32" "omitted"
"fBodyAcc-bandsEnergy()-33,40" "omitted"
"fBodyAcc-bandsEnergy()-41,48" "omitted"
"fBodyAcc-bandsEnergy()-49,56" "omitted"
"fBodyAcc-bandsEnergy()-57,64" "omitted"
"fBodyAcc-bandsEnergy()-1,16" "omitted"
"fBodyAcc-bandsEnergy()-17,32" "omitted"
"fBodyAcc-bandsEnergy()-33,48" "omitted"
"fBodyAcc-bandsEnergy()-49,64" "omitted"
"fBodyAcc-bandsEnergy()-1,24" "omitted"
"fBodyAcc-bandsEnergy()-25,48" "omitted"
"fBodyAccJerk-mean()-X" "FrequencyBodyAccelerometerJerkMeanX"
"fBodyAccJerk-mean()-Y" "FrequencyBodyAccelerometerJerkMeanY"
"fBodyAccJerk-mean()-Z" "FrequencyBodyAccelerometerJerkMeanZ"
"fBodyAccJerk-std()-X" "FrequencyBodyAccelerometerJerkStdX"
"fBodyAccJerk-std()-Y" "FrequencyBodyAccelerometerJerkStdY"
"fBodyAccJerk-std()-Z" "FrequencyBodyAccelerometerJerkStdZ"
"fBodyAccJerk-mad()-X" "omitted"
"fBodyAccJerk-mad()-Y" "omitted"
"fBodyAccJerk-mad()-Z" "omitted"
"fBodyAccJerk-max()-X" "omitted"
"fBodyAccJerk-max()-Y" "omitted"
"fBodyAccJerk-max()-Z" "omitted"
"fBodyAccJerk-min()-X" "omitted"
"fBodyAccJerk-min()-Y" "omitted"
"fBodyAccJerk-min()-Z" "omitted"
"fBodyAccJerk-sma()" "omitted"
"fBodyAccJerk-energy()-X" "omitted"
"fBodyAccJerk-energy()-Y" "omitted"
"fBodyAccJerk-energy()-Z" "omitted"
"fBodyAccJerk-iqr()-X" "omitted"
"fBodyAccJerk-iqr()-Y" "omitted"
"fBodyAccJerk-iqr()-Z" "omitted"
"fBodyAccJerk-entropy()-X" "omitted"
"fBodyAccJerk-entropy()-Y" "omitted"
"fBodyAccJerk-entropy()-Z" "omitted"
"fBodyAccJerk-maxInds-X" "omitted"
"fBodyAccJerk-maxInds-Y" "omitted"
"fBodyAccJerk-maxInds-Z" "omitted"
"fBodyAccJerk-meanFreq()-X" "omitted"
"fBodyAccJerk-meanFreq()-Y" "omitted"
"fBodyAccJerk-meanFreq()-Z" "omitted"
"fBodyAccJerk-skewness()-X" "omitted"
"fBodyAccJerk-kurtosis()-X" "omitted"
"fBodyAccJerk-skewness()-Y" "omitted"
"fBodyAccJerk-kurtosis()-Y" "omitted"
"fBodyAccJerk-skewness()-Z" "omitted"
"fBodyAccJerk-kurtosis()-Z" "omitted"
"fBodyAccJerk-bandsEnergy()-1,8" "omitted"
"fBodyAccJerk-bandsEnergy()-9,16" "omitted"
"fBodyAccJerk-bandsEnergy()-17,24" "omitted"
"fBodyAccJerk-bandsEnergy()-25,32" "omitted"
"fBodyAccJerk-bandsEnergy()-33,40" "omitted"
"fBodyAccJerk-bandsEnergy()-41,48" "omitted"
"fBodyAccJerk-bandsEnergy()-49,56" "omitted"
"fBodyAccJerk-bandsEnergy()-57,64" "omitted"
"fBodyAccJerk-bandsEnergy()-1,16" "omitted"
"fBodyAccJerk-bandsEnergy()-17,32" "omitted"
"fBodyAccJerk-bandsEnergy()-33,48" "omitted"
"fBodyAccJerk-bandsEnergy()-49,64" "omitted"
"fBodyAccJerk-bandsEnergy()-1,24" "omitted"
"fBodyAccJerk-bandsEnergy()-25,48" "omitted"
"fBodyAccJerk-bandsEnergy()-1,8" "omitted"
"fBodyAccJerk-bandsEnergy()-9,16" "omitted"
"fBodyAccJerk-bandsEnergy()-17,24" "omitted"
"fBodyAccJerk-bandsEnergy()-25,32" "omitted"
"fBodyAccJerk-bandsEnergy()-33,40" "omitted"
"fBodyAccJerk-bandsEnergy()-41,48" "omitted"
"fBodyAccJerk-bandsEnergy()-49,56" "omitted"
"fBodyAccJerk-bandsEnergy()-57,64" "omitted"
"fBodyAccJerk-bandsEnergy()-1,16" "omitted"
"fBodyAccJerk-bandsEnergy()-17,32" "omitted"
"fBodyAccJerk-bandsEnergy()-33,48" "omitted"
"fBodyAccJerk-bandsEnergy()-49,64" "omitted"
"fBodyAccJerk-bandsEnergy()-1,24" "omitted"
"fBodyAccJerk-bandsEnergy()-25,48" "omitted"
"fBodyAccJerk-bandsEnergy()-1,8" "omitted"
"fBodyAccJerk-bandsEnergy()-9,16" "omitted"
"fBodyAccJerk-bandsEnergy()-17,24" "omitted"
"fBodyAccJerk-bandsEnergy()-25,32" "omitted"
"fBodyAccJerk-bandsEnergy()-33,40" "omitted"
"fBodyAccJerk-bandsEnergy()-41,48" "omitted"
"fBodyAccJerk-bandsEnergy()-49,56" "omitted"
"fBodyAccJerk-bandsEnergy()-57,64" "omitted"
"fBodyAccJerk-bandsEnergy()-1,16" "omitted"
"fBodyAccJerk-bandsEnergy()-17,32" "omitted"
"fBodyAccJerk-bandsEnergy()-33,48" "omitted"
"fBodyAccJerk-bandsEnergy()-49,64" "omitted"
"fBodyAccJerk-bandsEnergy()-1,24" "omitted"
"fBodyAccJerk-bandsEnergy()-25,48" "omitted"
"fBodyGyro-mean()-X" "FrequencyBodyGyroscopeMeanX"
"fBodyGyro-mean()-Y" "FrequencyBodyGyroscopeMeanY"
"fBodyGyro-mean()-Z" "FrequencyBodyGyroscopeMeanZ"
"fBodyGyro-std()-X" "FrequencyBodyGyroscopeStdX"
"fBodyGyro-std()-Y" "FrequencyBodyGyroscopeStdY"
"fBodyGyro-std()-Z" "FrequencyBodyGyroscopeStdZ"
"fBodyGyro-mad()-X" "omitted"
"fBodyGyro-mad()-Y" "omitted"
"fBodyGyro-mad()-Z" "omitted"
"fBodyGyro-max()-X" "omitted"
"fBodyGyro-max()-Y" "omitted"
"fBodyGyro-max()-Z" "omitted"
"fBodyGyro-min()-X" "omitted"
"fBodyGyro-min()-Y" "omitted"
"fBodyGyro-min()-Z" "omitted"
"fBodyGyro-sma()" "omitted"
"fBodyGyro-energy()-X" "omitted"
"fBodyGyro-energy()-Y" "omitted"
"fBodyGyro-energy()-Z" "omitted"
"fBodyGyro-iqr()-X" "omitted"
"fBodyGyro-iqr()-Y" "omitted"
"fBodyGyro-iqr()-Z" "omitted"
"fBodyGyro-entropy()-X" "omitted"
"fBodyGyro-entropy()-Y" "omitted"
"fBodyGyro-entropy()-Z" "omitted"
"fBodyGyro-maxInds-X" "omitted"
"fBodyGyro-maxInds-Y" "omitted"
"fBodyGyro-maxInds-Z" "omitted"
"fBodyGyro-meanFreq()-X" "omitted"
"fBodyGyro-meanFreq()-Y" "omitted"
"fBodyGyro-meanFreq()-Z" "omitted"
"fBodyGyro-skewness()-X" "omitted"
"fBodyGyro-kurtosis()-X" "omitted"
"fBodyGyro-skewness()-Y" "omitted"
"fBodyGyro-kurtosis()-Y" "omitted"
"fBodyGyro-skewness()-Z" "omitted"
"fBodyGyro-kurtosis()-Z" "omitted"
"fBodyGyro-bandsEnergy()-1,8" "omitted"
"fBodyGyro-bandsEnergy()-9,16" "omitted"
"fBodyGyro-bandsEnergy()-17,24" "omitted"
"fBodyGyro-bandsEnergy()-25,32" "omitted"
"fBodyGyro-bandsEnergy()-33,40" "omitted"
"fBodyGyro-bandsEnergy()-41,48" "omitted"
"fBodyGyro-bandsEnergy()-49,56" "omitted"
"fBodyGyro-bandsEnergy()-57,64" "omitted"
"fBodyGyro-bandsEnergy()-1,16" "omitted"
"fBodyGyro-bandsEnergy()-17,32" "omitted"
"fBodyGyro-bandsEnergy()-33,48" "omitted"
"fBodyGyro-bandsEnergy()-49,64" "omitted"
"fBodyGyro-bandsEnergy()-1,24" "omitted"
"fBodyGyro-bandsEnergy()-25,48" "omitted"
"fBodyGyro-bandsEnergy()-1,8" "omitted"
"fBodyGyro-bandsEnergy()-9,16" "omitted"
"fBodyGyro-bandsEnergy()-17,24" "omitted"
"fBodyGyro-bandsEnergy()-25,32" "omitted"
"fBodyGyro-bandsEnergy()-33,40" "omitted"
"fBodyGyro-bandsEnergy()-41,48" "omitted"
"fBodyGyro-bandsEnergy()-49,56" "omitted"
"fBodyGyro-bandsEnergy()-57,64" "omitted"
"fBodyGyro-bandsEnergy()-1,16" "omitted"
"fBodyGyro-bandsEnergy()-17,32" "omitted"
"fBodyGyro-bandsEnergy()-33,48" "omitted"
"fBodyGyro-bandsEnergy()-49,64" "omitted"
"fBodyGyro-bandsEnergy()-1,24" "omitted"
"fBodyGyro-bandsEnergy()-25,48" "omitted"
"fBodyGyro-bandsEnergy()-1,8" "omitted"
"fBodyGyro-bandsEnergy()-9,16" "omitted"
"fBodyGyro-bandsEnergy()-17,24" "omitted"
"fBodyGyro-bandsEnergy()-25,32" "omitted"
"fBodyGyro-bandsEnergy()-33,40" "omitted"
"fBodyGyro-bandsEnergy()-41,48" "omitted"
"fBodyGyro-bandsEnergy()-49,56" "omitted"
"fBodyGyro-bandsEnergy()-57,64" "omitted"
"fBodyGyro-bandsEnergy()-1,16" "omitted"
"fBodyGyro-bandsEnergy()-17,32" "omitted"
"fBodyGyro-bandsEnergy()-33,48" "omitted"
"fBodyGyro-bandsEnergy()-49,64" "omitted"
"fBodyGyro-bandsEnergy()-1,24" "omitted"
"fBodyGyro-bandsEnergy()-25,48" "omitted"
"fBodyAccMag-mean()" "FrequencyBodyAccelerometerMagMean"
"fBodyAccMag-std()" "FrequencyBodyAccelerometerMagStd"
"fBodyAccMag-mad()" "omitted"
"fBodyAccMag-max()" "omitted"
"fBodyAccMag-min()" "omitted"
"fBodyAccMag-sma()" "omitted"
"fBodyAccMag-energy()" "omitted"
"fBodyAccMag-iqr()" "omitted"
"fBodyAccMag-entropy()" "omitted"
"fBodyAccMag-maxInds" "omitted"
"fBodyAccMag-meanFreq()" "omitted"
"fBodyAccMag-skewness()" "omitted"
"fBodyAccMag-kurtosis()" "omitted"
"fBodyBodyAccJerkMag-mean()" "FrequencyBodyBodyAccelerometerJerkMagMean"
"fBodyBodyAccJerkMag-std()" "FrequencyBodyBodyAccelerometerJerkMagStd"
"fBodyBodyAccJerkMag-mad()" "omitted"
"fBodyBodyAccJerkMag-max()" "omitted"
"fBodyBodyAccJerkMag-min()" "omitted"
"fBodyBodyAccJerkMag-sma()" "omitted"
"fBodyBodyAccJerkMag-energy()" "omitted"
"fBodyBodyAccJerkMag-iqr()" "omitted"
"fBodyBodyAccJerkMag-entropy()" "omitted"
"fBodyBodyAccJerkMag-maxInds" "omitted"
